make,manufactured,reg_date,type_of_vehicle,transmission,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price
bmw,2013.0,2013.0,luxury sedan,auto,135.0,1997.0,1.0,17700.0,77100.0,1210.0,47514.0,73000.0,45330.0,50462.0,71300.0
mercedes-benz,2016.0,2016.0,luxury sedan,auto,90.0,1595.0,1.0,15070.0,53694.0,740.0,44517.0,80000.0,27886.0,26041.0,95500.0
mercedes-benz,2019.0,2020.0,luxury sedan,auto,115.0,1497.0,1.0,16400.0,40690.0,684.0,80301.0,9800.0,46412.0,56977.0,197900.0
honda,2019.0,2019.0,mid-sized sedan,auto,92.0,1597.0,1.0,10450.0,26667.0,742.0,36453.0,40000.0,20072.0,20101.0,103200.0
volvo,2015.0,2015.0,hatchback,auto,90.0,1498.0,3.0,11020.0,56001.0,684.0,37311.0,77777.0,22809.0,18933.0,62500.0
bmw,2016.0,2016.0,luxury sedan,auto,100.0,1499.0,2.0,12640.0,56889.0,684.0,50999.0,111199.0,29860.0,28804.0,87800.0
honda,2008.0,2009.0,mid-sized sedan,auto,88.0,1497.0,2.0,6370.0,25727.0,889.0,19292.0,112000.0,20387.0,20387.0,52600.0
hyundai,2019.0,2019.0,mid-sized sedan,auto,93.8,1591.0,1.0,8390.0,33009.0,738.0,41097.0,27000.0,18272.0,18272.0,86700.0
mercedes-benz,2020.0,2021.0,sports car,auto,430.0,3982.0,1.0,67410.0,49489.0,3922.0,351493.0,238.0,241799.0,407239.0,921800.0
toyota,2016.0,2016.0,mpv,auto,134.0,2494.0,2.0,19120.0,51010.0,1792.0,63194.0,79000.0,45427.0,55598.0,130700.0
ferrari,2004.0,2004.0,sports car,auto,380.0,5748.0,4.0,141810.0,66834.0,10026.0,19794.0,55584.0,259435.0,285379.0,462000.0
volkswagen,2009.0,2009.0,sports car,auto,147.0,1984.0,3.0,8850.0,37502.0,1433.0,30433.0,117000.0,30382.0,25271.0,79000.0
volkswagen,2013.0,2013.0,hatchback,auto,103.0,1395.0,3.0,12270.0,73100.0,624.0,22855.0,77000.0,25397.0,12556.0,35200.0
opel,2020.0,2020.0,hatchback,auto,96.0,1199.0,1.0,8600.0,37334.0,508.0,41780.0,11000.0,20121.0,10170.0,92200.0
honda,2017.0,2018.0,stationwagon,auto,97.0,1496.0,1.0,10100.0,39903.0,682.0,33126.0,59900.0,18656.0,8656.0,79000.0
toyota,2008.0,2010.0,mid-sized sedan,auto,81.0,1496.0,5.0,8760.0,16438.0,818.0,12304.0,115000.0,19083.0,19083.0,36100.0
mini,2020.0,2020.0,hatchback,auto,100.0,1499.0,1.0,14330.0,30890.0,684.0,57659.0,11000.0,33658.0,39122.0,166000.0
honda,2008.0,2009.0,stationwagon,auto,81.0,1496.0,3.0,8380.0,12864.0,887.0,6386.0,141000.0,13937.0,13937.0,22900.0
bmw,2020.0,2021.0,suv,auto,185.0,1998.0,1.0,23760.0,45510.0,1210.0,101305.0,7838.0,59276.0,78697.0,289100.0
honda,2018.0,2019.0,suv,auto,112.0,1496.0,1.0,10460.0,40101.0,682.0,46021.0,18300.0,27213.0,20099.0,106600.0
mazda,2016.0,2016.0,mid-sized sedan,auto,88.0,1496.0,1.0,10010.0,53694.0,682.0,33798.0,47500.0,16296.0,11296.0,59300.0
toyota,2021.0,2021.0,mpv,auto,134.0,2493.0,1.0,19390.0,58001.0,1792.0,93345.0,88.0,51972.0,65550.0,246200.0
lexus,2015.0,2015.0,suv,auto,147.0,2494.0,2.0,17870.0,65501.0,1792.0,64156.0,97015.0,51157.0,59083.0,109800.0
mercedes-benz,2005.0,2005.0,luxury sedan,auto,120.0,1796.0,3.0,8110.0,59798.0,1461.0,25656.0,143000.0,57408.0,63149.0,38300.0
mercedes-benz,2016.0,2016.0,luxury sedan,auto,390.0,5980.0,2.0,59200.0,56956.0,7046.0,288500.0,60500.0,207704.0,345868.0,525800.0
honda,2016.0,2016.0,hatchback,auto,73.0,1318.0,2.0,9180.0,55200.0,578.0,36254.0,110000.0,16398.0,11398.0,57000.0
volkswagen,2015.0,2015.0,mid-sized sedan,auto,90.0,1390.0,3.0,9940.0,57089.0,620.0,38748.0,127000.0,21568.0,22196.0,56700.0
bmw,2021.0,2021.0,hatchback,auto,80.0,1499.0,1.0,11860.0,48510.0,684.0,74135.0,41.0,31169.0,35637.0,147100.0
mercedes-benz,2020.0,2020.0,suv,auto,120.0,1332.0,1.0,17260.0,39000.0,586.0,69090.0,9700.0,36865.0,43611.0,201100.0
hyundai,2015.0,2015.0,mid-sized sedan,auto,97.0,1591.0,1.0,8730.0,57301.0,738.0,32833.0,102016.0,12771.0,12771.0,47100.0
bmw,2010.0,2010.0,sports car,auto,150.0,2497.0,4.0,13720.0,35416.0,1976.0,30467.0,58000.0,41849.0,41849.0,129800.0
bmw,2012.0,2012.0,hatchback,auto,100.0,1598.0,2.0,27010.0,56501.0,742.0,17432.0,67000.0,27217.0,27217.0,35100.0
toyota,2016.0,2016.0,mpv,auto,105.0,1798.0,1.0,11130.0,56410.0,976.0,44269.0,58000.0,19955.0,19955.0,74600.0
nissan,2016.0,2017.0,suv,auto,106.0,1997.0,1.0,11100.0,52807.0,1210.0,46716.0,81900.0,23227.0,24518.0,79000.0
mercedes-benz,2020.0,2021.0,suv,auto,287.0,2996.0,1.0,28940.0,49300.0,2382.0,128014.0,9000.0,76153.0,109076.0,358400.0
volkswagen,2017.0,2017.0,hatchback,auto,66.0,1197.0,1.0,8530.0,42902.0,508.0,31848.0,77368.0,17610.0,7610.0,61400.0
audi,2014.0,2015.0,luxury sedan,auto,92.0,1395.0,2.0,12800.0,62002.0,624.0,31572.0,79000.0,27192.0,15069.0,57800.0
volkswagen,2018.0,2019.0,hatchback,auto,77.0,1197.0,1.0,10880.0,25920.0,508.0,34563.0,56392.0,20093.0,20131.0,101000.0
audi,2010.0,2010.0,sports car,auto,155.0,1984.0,3.0,9890.0,33568.0,1433.0,29466.0,122000.0,47399.0,47399.0,95500.0
proton,2010.0,2010.0,mpv,auto,93.0,1597.0,2.0,7330.0,16438.0,890.0,12016.0,106000.0,14128.0,14128.0,29500.0
honda,2018.0,2018.0,suv,auto,96.0,1496.0,1.0,9350.0,34110.0,682.0,37769.0,41232.0,19096.0,19096.0,81200.0
mercedes-benz,2011.0,2011.0,mid-sized sedan,auto,115.0,1597.0,2.0,7990.0,46896.0,816.0,46331.0,99000.0,31019.0,31019.0,86800.0
honda,2016.0,2016.0,suv,auto,96.0,1496.0,1.0,9610.0,52668.0,682.0,42973.0,45000.0,23772.0,20281.0,66900.0
suzuki,2015.0,2015.0,suv,auto,86.0,1586.0,1.0,10450.0,55399.0,736.0,35425.0,48200.0,17108.0,17108.0,58100.0
proton,2009.0,2011.0,mpv,auto,93.0,1597.0,1.0,7030.0,21142.0,816.0,19798.0,150738.0,14169.0,14169.0,36200.0
honda,2016.0,2016.0,hatchback,auto,96.0,1498.0,2.0,9750.0,43000.0,684.0,27367.0,62118.0,16259.0,11259.0,54800.0
bmw,2018.0,2018.0,luxury sedan,auto,185.0,1998.0,1.0,21680.0,32552.0,1210.0,82489.0,33000.0,60007.0,80013.0,215400.0
toyota,2009.0,2009.0,luxury sedan,auto,108.0,1998.0,4.0,9300.0,16509.0,1573.0,8521.0,340000.0,26727.0,26727.0,26400.0
toyota,2008.0,2008.0,mpv,auto,97.0,1794.0,2.0,6410.0,36888.0,1361.0,25215.0,97800.0,18803.0,18803.0,48200.0
lexus,2020.0,2021.0,luxury sedan,auto,152.0,2487.0,1.0,16650.0,49500.0,1784.0,75745.0,8027.0,40319.0,48447.0,200000.0
mazda,2017.0,2017.0,mid-sized sedan,auto,88.0,1496.0,1.0,8050.0,25801.0,182.0,23459.0,21000.0,16034.0,11034.0,58200.0
kia,2016.0,2017.0,mid-sized sedan,auto,95.3,1591.0,1.0,8570.0,50889.0,738.0,41786.0,40000.0,17755.0,17755.0,62500.0
mazda,2019.0,2020.0,luxury sedan,auto,121.0,1998.0,1.0,10800.0,30012.0,1210.0,40405.0,19000.0,19734.0,19734.0,112200.0
toyota,2019.0,2020.0,mpv,auto,125.0,2362.0,1.0,14650.0,30890.0,1638.0,56278.0,19000.0,34487.0,40282.0,158200.0
bmw,2013.0,2013.0,luxury sedan,auto,100.0,1598.0,2.0,15130.0,79223.0,742.0,31297.0,80000.0,31108.0,25552.0,48900.0
honda,2007.0,2007.0,mid-sized sedan,auto,114.0,1998.0,2.0,8980.0,52008.0,1815.0,29552.0,164500.0,21597.0,23757.0,56100.0
audi,2010.0,2010.0,sports car,manual,250.0,2480.0,6.0,16560.0,33018.0,2131.0,25103.0,113888.0,74411.0,74411.0,138500.0
bmw,2010.0,2011.0,luxury sedan,auto,150.0,2497.0,4.0,8320.0,40714.0,1976.0,38093.0,127033.0,38395.0,38395.0,85600.0
citroen,2015.0,2015.0,mpv,auto,85.0,1560.0,1.0,10260.0,55889.0,1144.0,30424.0,70000.0,26069.0,13497.0,51200.0
opel,2016.0,2017.0,suv,auto,100.0,1598.0,1.0,10140.0,46229.0,1182.0,37201.0,172569.0,21024.0,16434.0,69100.0
audi,2020.0,2020.0,mid-sized sedan,auto,331.0,2894.0,2.0,32670.0,41510.0,2262.0,133542.0,10000.0,86726.0,128107.0,394800.0
bmw,2016.0,2016.0,suv,auto,100.0,1499.0,1.0,14480.0,49156.0,684.0,43332.0,84800.0,29796.0,28715.0,91100.0
bmw,2019.0,2020.0,suv,auto,135.0,1998.0,1.0,18800.0,40301.0,1210.0,73219.0,10232.0,40234.0,48328.0,216500.0
honda,2016.0,2016.0,mid-sized sedan,auto,92.0,1597.0,1.0,10910.0,53000.0,742.0,41882.0,89000.0,19541.0,19541.0,72400.0
nissan,2016.0,2016.0,suv,auto,106.0,1997.0,1.0,11790.0,55501.0,1210.0,46899.0,50000.0,23227.0,24518.0,80100.0
mercedes-benz,2010.0,2010.0,luxury sedan,auto,200.0,3498.0,2.0,15530.0,35416.0,3797.0,30332.0,38750.0,102205.0,102205.0,146300.0
toyota,2008.0,2008.0,mpv,auto,97.0,1794.0,4.0,7880.0,20441.0,1361.0,6485.0,184000.0,16728.0,16728.0,13800.0
toyota,2009.0,2009.0,mpv,auto,125.0,2362.0,3.0,7060.0,37941.0,1966.0,30519.0,190000.0,35039.0,35039.0,62500.0
porsche,2011.0,2011.0,suv,auto,220.0,3598.0,2.0,15060.0,47316.0,3654.0,45799.0,112437.0,80197.0,80197.0,160400.0
lexus,2007.0,2008.0,luxury sedan,auto,153.0,2500.0,4.0,15760.0,26004.0,2520.0,3234.0,168818.0,36637.0,40301.0,10800.0
mercedes-benz,2018.0,2018.0,luxury sedan,auto,155.0,1991.0,1.0,20460.0,31307.0,1202.0,74363.0,31000.0,54329.0,69793.0,196700.0
mercedes-benz,2019.0,2020.0,luxury sedan,auto,100.0,1332.0,1.0,15750.0,32889.0,586.0,65033.0,22450.0,41193.0,49671.0,173700.0
mitsubishi,2010.0,2010.0,mid-sized sedan,auto,114.0,1998.0,5.0,7950.0,33568.0,1452.0,29889.0,152600.0,19766.0,19766.0,77900.0
honda,2008.0,2009.0,luxury sedan,auto,115.0,1997.0,4.0,8590.0,17706.0,1573.0,9479.0,207000.0,33066.0,33066.0,25300.0
alfa romeo,2017.0,2018.0,sports car,auto,375.0,2891.0,5.0,28610.0,39903.0,2258.0,125123.0,50888.0,89164.0,132496.0,276000.0
mazda,2019.0,2019.0,suv,auto,121.0,1998.0,1.0,12040.0,52410.0,1210.0,56978.0,22000.0,23825.0,25355.0,118800.0
mitsubishi,2016.0,2016.0,mid-sized sedan,auto,86.0,1590.0,1.0,8270.0,53334.0,738.0,37909.0,110377.0,14756.0,14756.0,53900.0
bmw,2015.0,2016.0,luxury sedan,auto,100.0,1499.0,2.0,12710.0,44001.0,684.0,34770.0,116000.0,26979.0,24771.0,76800.0
honda,2008.0,2009.0,hatchback,auto,73.0,1339.0,3.0,8600.0,13943.0,767.0,7716.0,129000.0,20064.0,20064.0,26200.0
jaguar,2015.0,2016.0,luxury sedan,auto,132.0,1999.0,2.0,11960.0,50089.0,1812.0,53772.0,117170.0,45420.0,45588.0,82500.0
mini,2008.0,2009.0,sports car,auto,128.0,1598.0,4.0,10060.0,29328.0,890.0,23527.0,103500.0,35294.0,35294.0,88800.0
nissan,2018.0,2018.0,suv,auto,85.0,1197.0,2.0,9890.0,33308.0,508.0,38151.0,31000.0,20399.0,20559.0,85600.0
kia,2017.0,2017.0,mid-sized sedan,auto,95.3,1591.0,1.0,8930.0,44002.0,738.0,35955.0,44000.0,12899.0,12899.0,65800.0
mercedes-benz,2016.0,2017.0,luxury sedan,auto,155.0,1991.0,2.0,19820.0,54406.0,1202.0,91669.0,73000.0,60393.0,80708.0,169200.0
bmw,2016.0,2016.0,luxury sedan,auto,180.0,1997.0,3.0,16910.0,49501.0,1210.0,62862.0,71000.0,45870.0,56218.0,119400.0
toyota,2008.0,2009.0,mid-sized sedan,auto,81.0,1496.0,4.0,8240.0,12763.0,887.0,6441.0,161400.0,17140.0,17140.0,22900.0
honda,2018.0,2018.0,hatchback,auto,96.0,1498.0,1.0,9450.0,30209.0,684.0,34353.0,23000.0,17135.0,17135.0,83400.0
audi,2015.0,2015.0,luxury sedan,auto,92.0,1395.0,2.0,11370.0,59200.0,624.0,39526.0,122000.0,27587.0,20622.0,64400.0
audi,2013.0,2015.0,stationwagon,auto,331.0,4163.0,3.0,37660.0,66751.0,4206.0,111592.0,106800.0,90910.0,135638.0,220000.0
mercedes-benz,2019.0,2021.0,luxury sedan,auto,120.0,1332.0,1.0,14040.0,58001.0,586.0,82527.0,652.0,31542.0,36159.0,172700.0
honda,2018.0,2019.0,stationwagon,auto,101.0,1496.0,2.0,17120.0,40001.0,682.0,42421.0,33700.0,22729.0,13821.0,158500.0
honda,2015.0,2016.0,hatchback,auto,96.0,1498.0,2.0,10610.0,59200.0,684.0,33340.0,78000.0,15417.0,10417.0,57100.0
audi,2010.0,2010.0,luxury sedan,auto,132.0,1984.0,6.0,9300.0,33568.0,1313.0,29521.0,137888.0,41227.0,41227.0,90000.0
suzuki,2008.0,2008.0,hatchback,manual,92.0,1586.0,3.0,7150.0,27571.0,957.0,19987.0,240000.0,15452.0,15452.0,57000.0
kia,2010.0,2011.0,mid-sized sedan,auto,91.1,1591.0,3.0,7500.0,18238.0,812.0,15570.0,103000.0,13608.0,13608.0,35200.0
bmw,2020.0,2020.0,sports car,auto,135.0,1998.0,1.0,20410.0,39889.0,1210.0,82136.0,8000.0,49026.0,60637.0,239800.0
audi,2020.0,2020.0,hatchback,auto,85.0,999.0,1.0,10610.0,37766.0,392.0,53328.0,11300.0,23964.0,25550.0,119700.0
toyota,2008.0,2008.0,mpv,auto,81.0,1496.0,4.0,6630.0,32339.0,887.0,22841.0,214234.0,15528.0,15528.0,51500.0
porsche,2011.0,2011.0,suv,auto,220.0,3598.0,5.0,15410.0,32914.0,3322.0,29695.0,142000.0,73369.0,73369.0,152900.0
mercedes-benz,2019.0,2020.0,luxury sedan,auto,100.0,1332.0,1.0,16440.0,41001.0,586.0,63116.0,100.0,36076.0,42507.0,192300.0
mercedes-benz,2012.0,2013.0,luxury sedan,auto,170.0,2997.0,2.0,25350.0,96101.0,2382.0,61654.0,78500.0,84972.0,84972.0,90000.0
honda,2017.0,2017.0,stationwagon,auto,101.0,1496.0,2.0,10640.0,54334.0,682.0,37678.0,40000.0,24387.0,5000.0,76800.0
volkswagen,2010.0,2010.0,hatchback,auto,63.0,1390.0,4.0,8210.0,16438.0,744.0,12331.0,138000.0,15068.0,15068.0,33900.0
mercedes-benz,2013.0,2013.0,sports car,auto,265.0,1991.0,2.0,32550.0,77110.0,1202.0,58681.0,120000.0,55160.0,71288.0,113100.0
bmw,2017.0,2017.0,luxury sedan,auto,135.0,1998.0,1.0,18190.0,48005.0,1210.0,74308.0,37000.0,47763.0,58869.0,158200.0
honda,2017.0,2018.0,stationwagon,auto,97.0,1496.0,1.0,9720.0,41400.0,682.0,33642.0,48000.0,19649.0,9649.0,73500.0
honda,2015.0,2015.0,mid-sized sedan,auto,92.0,1598.0,1.0,9920.0,57301.0,742.0,39687.0,83000.0,21669.0,22337.0,58100.0
