,make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price
0,bmw,320i,2013.0,09-dec-2013,luxury sedan,"parf car, premium ad car, low mileage car",auto,1560.0,135.0,,1997.0,1.0,17700.0,77100.0,1210.0,47514.0,73000.0,45330.0,50462.0,71300.0
1,,hiace,2014.0,26-jan-2015,van,premium ad car,manual,1740.0,133.66807772380292,diesel,2982.0,3.0,11630.0,10660.0,1341.5123687119956,3648.0,110112.0,27502.0,1376.0,43800.0
2,mercedes-benz,cla180,2016.0,25-jul-2016,luxury sedan,"parf car, premium ad car",auto,1430.0,90.0,,1595.0,1.0,15070.0,53694.0,740.0,44517.0,80000.0,27886.0,26041.0,95500.0
3,mercedes-benz,e180,2019.0,17-nov-2020,luxury sedan,"parf car, almost new car, consignment car",auto,1635.0,115.0,,1497.0,1.0,16400.0,40690.0,684.0,80301.0,9800.0,46412.0,56977.0,197900.0
4,,civic,2019.0,20-sep-2019,mid-sized sedan,parf car,auto,1237.0,92.0,,1597.0,1.0,10450.0,26667.0,742.0,36453.0,40000.0,20072.0,20101.0,103200.0
6,volvo,v40,2015.0,11-dec-2015,hatchback,"parf car, premium ad car",auto,1450.0,90.0,,1498.0,3.0,11020.0,56001.0,684.0,37311.0,77777.0,22809.0,18933.0,62500.0
7,mercedes-benz,amg,2018.0,23-jun-2021,suv,"imported used vehicle, parf car, rare & exotic, almost new car",auto,2080.0,375.0,,3982.0,1.0,14484.37163485071,62100.0,3922.0,44184.92604233483,31787.0,53386.0,68095.0,367300.0
8,,corolla,2011.0,15-jul-2011,mid-sized sedan,"coe car, premium ad car",auto,1195.0,90.0,,1598.0,2.0,6280.0,42283.0,816.0,40951.0,73207.97487437187,15263.0,15263.0,66900.0
9,bmw,318i,2016.0,27-oct-2016,luxury sedan,parf car,auto,1425.0,100.0,,1499.0,2.0,12640.0,56889.0,684.0,50999.0,111199.0,29860.0,28804.0,87800.0
10,kia,cerato,2017.0,14-aug-2017,mid-sized sedan,parf car,auto,1295.0,95.3,,1591.0,1.0,8270.0,42801.0,738.0,35227.0,73207.97487437187,12900.0,12900.0,61400.0
11,honda,city,2008.0,02-mar-2009,mid-sized sedan,"coe car, low mileage car",auto,1150.0,88.0,,1497.0,2.0,6370.0,25727.0,889.0,19292.0,112000.0,20387.0,20387.0,52600.0
12,,avante,2019.0,11-dec-2019,mid-sized sedan,parf car,auto,1345.0,93.8,,1591.0,1.0,8390.0,33009.0,738.0,41097.0,27000.0,18272.0,18272.0,86700.0
13,,amg,2020.0,21-jan-2021,sports car,"parf car, rare & exotic, almost new car, low mileage car",auto,1650.0,430.0,,3982.0,1.0,67410.0,49489.0,3922.0,351493.0,238.0,241799.0,407239.0,921800.0
14,nissan,cabstar,2015.0,31-oct-2015,truck,direct owner sale,manual,1980.0,133.66807772380292,diesel,2953.0,1.0,8610.0,46801.0,1341.5123687119956,19579.0,190363.0,24362.0,1219.0,39600.0
15,toyota,estima,2008.0,12-jun-2008,mpv,"coe car, premium ad car",auto,1770.0,125.0,,2362.0,5.0,7640.0,37906.0,2293.0,25703.0,228000.0,28865.0,28865.0,57000.0
16,mazda,3,2016.0,30-nov-2016,mid-sized sedan,"parf car, premium ad car",auto,1321.0,88.0,,1496.0,1.0,9120.0,50951.0,682.0,38496.0,68791.0,20569.0,15797.0,61100.0
17,toyota,alphard,2016.0,17-jun-2016,mpv,parf car,auto,2075.0,134.0,,2494.0,2.0,19120.0,51010.0,1792.0,63194.0,79000.0,45427.0,55598.0,130700.0
18,ferrari,575m,2004.0,11-aug-2004,sports car,"coe car, rare & exotic, low mileage car",auto,1825.0,380.0,,5748.0,4.0,141810.0,66834.0,10026.0,19794.0,55584.0,259435.0,285379.0,462000.0
19,nissan,nv200,2012.0,15-mar-2013,van,-,manual,1320.0,133.66807772380292,diesel,1461.0,2.0,11480.0,57051.0,1341.5123687119956,8847.0,73207.97487437187,20293.0,1015.0,19600.0
20,volkswagen,scirocco,2009.0,05-oct-2009,sports car,"coe car, premium ad car, low mileage car",auto,1318.0,147.0,,1984.0,3.0,8850.0,37502.0,1433.0,30433.0,117000.0,30382.0,25271.0,79000.0
21,jaguar,xf,2010.0,25-may-2010,luxury sedan,"coe car, premium ad car",auto,1735.0,175.0,,2967.0,4.0,9160.0,37502.0,2818.0,30711.0,73207.97487437187,54019.0,54019.0,82500.0
22,volkswagen,golf,2013.0,30-sep-2013,hatchback,"parf car, premium ad car, low mileage car",auto,1288.0,103.0,,1395.0,3.0,12270.0,73100.0,624.0,22855.0,77000.0,25397.0,12556.0,35200.0
23,toyota,dyna,2015.0,09-oct-2015,truck,-,manual,1800.0,133.66807772380292,diesel,2982.0,1.0,10620.0,8132.0,1341.5123687119956,3353.0,73207.97487437187,31494.0,1575.0,48200.0
24,opel,corsa,2020.0,30-oct-2020,hatchback,"parf car, almost new car, premium ad car",auto,1158.0,96.0,,1199.0,1.0,8600.0,37334.0,508.0,41780.0,11000.0,20121.0,10170.0,92200.0
25,,shuttle,2017.0,30-apr-2018,stationwagon,parf car,auto,1130.0,97.0,,1496.0,1.0,10100.0,39903.0,682.0,33126.0,59900.0,18656.0,8656.0,79000.0
26,toyota,premio,2008.0,11-jun-2010,mid-sized sedan,"coe car, premium ad car",auto,1200.0,81.0,,1496.0,5.0,8760.0,16438.0,818.0,12304.0,115000.0,19083.0,19083.0,36100.0
27,mini,cooper,2020.0,12-nov-2020,hatchback,"parf car, almost new car",auto,1350.0,100.0,,1499.0,1.0,14330.0,30890.0,684.0,57659.0,11000.0,33658.0,39122.0,166000.0
28,suzuki,grand,2010.0,17-jun-2010,suv,coe car,auto,1555.0,103.0,,1995.0,4.0,7280.0,33568.0,1450.0,29411.0,150000.0,19387.0,19387.0,70200.0
29,porsche,taycan,2020.0,19-mar-2021,sports car,"parf car, rare & exotic, almost new car, low mileage car, electric cars",auto,2215.0,495.0,electric,2075.3915593445795,1.0,48960.0,47001.0,1341.5123687119956,170335.0,82.0,133421.0,167158.0,607200.0
30,,civic,2006.0,03-may-2006,mid-sized sedan,"coe car, consignment car",auto,1219.0,103.0,,1799.0,5.0,8300.0,46048.0,1467.0,21586.0,73207.97487437187,21276.0,23404.0,42800.0
